Land,RB,Kreis,VB,Gem,Gemeindename
01,,,,,Schleswig-Holstein
01,0,01,,,Flensburg, Stadt
01,0,01,0000,,Flensburg, Stadt
01,0,01,0000,000,Flensburg, Stadt
01,0,02,,,Kiel, Landeshauptstadt
01,0,02,0000,,Kiel, Landeshauptstadt
01,0,02,0000,000,Kiel, Landeshauptstadt
01,0,03,,,L�beck, Hansestadt
01,0,03,0000,,L�beck, Hansestadt
01,0,03,0000,000,L�beck, Hansestadt
01,0,04,,,Neum�nster, Stadt
01,0,04,0000,,Neum�nster, Stadt
01,0,04,0000,000,Neum�nster, Stadt
01,0,51,,,Dithmarschen
01,0,51,0011,,Brunsb�ttel, Stadt
01,0,51,0011,011,Brunsb�ttel, Stadt
01,0,51,0044,,Heide, Stadt
01,0,51,0044,044,Heide, Stadt
01,0,51,5163,,Burg-St. Michaelisdonn
01,0,51,5163,003,Averlak
01,0,51,5163,010,Brickeln
01,0,51,5163,012,Buchholz
01,0,51,5163,016,Burg (Dithmarschen)
01,0,51,5163,022,Dingen
01,0,51,5163,024,Eddelak
01,0,51,5163,026,Eggstedt
01,0,51,5163,032,Frestedt
01,0,51,5163,037,Gro�enrade
01,0,51,5163,051,Hochdonn
01,0,51,5163,064,Kuden
01,0,51,5163,089,Quickborn
01,0,51,5163,097,Sankt Michaelisdonn
01,0,51,5163,110,S�derhastedt
01,0,51,5166,,Marne-Nordsee
01,0,51,5166,021,Diekhusen-Fahrstedt
01,0,51,5166,034,Friedrichskoog
01,0,51,5166,046,Helse
01,0,51,5166,057,Kaiser-Wilhelm-Koog
01,0,51,5166,062,Kronprinzenkoog
01,0,51,5166,072,Marne, Stadt
01,0,51,5166,073,Marnerdeich
01,0,51,5166,076,Neufeld
01,0,51,5166,077,Neufelderkoog
01,0,51,5166,090,Ramhusen
01,0,51,5166,103,Schmedeswurth
01,0,51,5166,118,Trennewurth
01,0,51,5166,119,Volsemenhusen
01,0,51,5169,,Eider
01,0,51,5169,005,Barkenholm
01,0,51,5169,008,Bergew�hrden
01,0,51,5169,019,Dellstedt
01,0,51,5169,020,Delve
01,0,51,5169,023,D�rpling
01,0,51,5169,030,Fedderingen
01,0,51,5169,035,Gaushorn
01,0,51,5169,036,Gl�sing
01,0,51,5169,038,Groven
01,0,51,5169,047,Hemme
01,0,51,5169,049,Hennstedt
01,0,51,5169,052,H�vede
01,0,51,5169,053,Hollingstedt
01,0,51,5169,058,Karolinenkoog
01,0,51,5169,060,Kleve
01,0,51,5169,061,Krempel
01,0,51,5169,065,Lehe
01,0,51,5169,068,Linden
01,0,51,5169,071,Lunden
01,0,51,5169,080,Norderheistedt
01,0,51,5169,088,Pahlen
01,0,51,5169,092,Rehm-Flehde-Bargen
01,0,51,5169,096,Sankt Annen
01,0,51,5169,100,Schalkholz
01,0,51,5169,102,Schlichting
01,0,51,5169,114,Tellingstedt
01,0,51,5169,117,Tielenhemme
01,0,51,5169,120,Wallen
01,0,51,5169,125,Welmb�ttel
01,0,51,5169,131,Westerborstel
01,0,51,5169,133,Wiemerstedt
01,0,51,5169,136,Wrohm
